<<<<<<< HEAD
# Scene: ห้องทำงานในบริษัทเทคโนโลยีใจกลางกรุงเทพฯ / เวลา: ใกล้เที่ยงคืน
# ภาพ: ขมนั่งอยู่หน้าจอคอมพิวเตอร์ รายล้อมด้วยแสงจากจอและกาแฟถ้วยที่สาม
# เสียงพื้นหลัง: เสียงแป้นพิมพ์ คีย์บอร์ด และเสียงแอร์เบา ๆ

Dialog: หัวหน้า (ผ่านหูฟัง),ขม เราต้องประชุมกับลูกค้าเยอรมันอีก 30 นาที เตรียมไฟล์ให้พร้อมด้วยนะ  
Dialog: ขม,*ถอนหายใจเบา ๆ* ครับหัวหน้า...

Dialog: เพื่อนร่วมงาน,เฮ้ นายยังไม่นอนอีกเหรอ นี่มันจะเที่ยงคืนแล้วนะ!  
Dialog: ขม,นี่มันรอบที่สามในอาทิตย์นี้ละ... ฉันเริ่มคิดถึงบ้านมากขึ้นทุกวัน  

Dialog: เพื่อนร่วมงาน,นายคิดจะลาออกเหรอ?  
Dialog: ขม,*จ้องจอแบบเหม่อลอย* ฉันไม่ได้อยากทำเพื่อเงินแค่นั้น...  
Dialog: ขม,ฉันอยากทำอะไรที่มัน "มีความหมาย" กับคนที่ฉันรัก

# เสียงโทรศัพท์มือถือดังขึ้น
Dialog: โทรศัพท์,*เสียงโทรศัพท์ดังขึ้นเบา ๆ กลางดึก*  
Dialog: ขม,*หยิบโทรศัพท์ขึ้นมา* ฮัลโหล... ยายเหรอครับ?

Dialog: ยาย (น้ำเสียงอ่อนโยน),หลานขม... ยายฝันถึงเอ็งเมื่อคืน  
Dialog: ยาย,เห็นเอ็งเดินอยู่หลังบ้าน... ถือคอมพ์เก่า ๆ ตัวนึง ยายเลยคิดถึง  
Dialog: ขม,*น้ำตาคลอเสียงสั่นเล็กน้อย* ยาย... ผมว่าจะกลับไปแล้วครับ  
Dialog: ยาย,*หัวเราะเบา ๆ อย่างอบอุ่น* กลับมาเถอะลูก... บ้านเรายังเหมือนเดิม

# แสงไฟจากจอคอมค่อย ๆ ดับลง
# ภาพ: ขมลุกขึ้นอย่างช้า ๆ เก็บของใส่กระเป๋า เปลี่ยนเสื้อคลุม  
# เสียงพื้นหลังเปลี่ยนจากเสียงออฟฟิศเป็นเสียงเพลงพื้นบ้านไทยเบา ๆ

Dialog: คำบรรยาย,*เสียงเพลงพื้นบ้านค่อย ๆ ดังขึ้นคลอฉาก*  
Dialog: คำบรรยาย,บางครั้ง จุดเปลี่ยนของชีวิต... ไม่ได้เริ่มจากความฝันใหญ่โต  
Dialog: คำบรรยาย,แต่มาจากเสียงโทรศัพท์สายหนึ่ง... จากคนที่เราคิดถึงที่สุด

# Fade out / จบฉาก
=======
# Scene: สำนักงานในบริษัทเทคโนโลยีในกรุงเทพฯ
# ภาพ: ขมนั่งอยู่ที่โต๊ะทำงาน รายล้อมด้วยอีเมลที่ยังไม่ได้เปิด
# เสียงพื้นหลัง: เสียงพนักงานพูดคุย พิมพ์งาน โทรศัพท์ดังเป็นระยะ

Dialog: ขม,เฮ้อ...อีเมลอีกเป็นร้อยเลยนะเนี่ย  
Dialog: ขม,นี่เรากำลังใช้ชีวิตอยู่ หรือแค่รอดผ่านไปวัน ๆ กันแน่นะ  

# เสียงโทรศัพท์ดังขึ้น  
Dialog: โทรศัพท์,*เสียงโทรศัพท์ดังขึ้นเบา ๆ*  
Dialog: ขม,*ถอนหายใจ* ฮัลโหลครับ?

# เสียงสำนักงานค่อย ๆ เงียบลง เพลงไทยดั้งเดิมเริ่มแทรก  
Dialog: ยาย,ขม... ยายเองนะลูก ยังจะอยู่กรุงเทพฯ อีกนานไหม?

Choice: กลับเร็วๆนี้,ยังมีงานอยู่  
กลับเร็วๆนี้: ขม,ผมคิดว่าถึงเวลาแล้วครับยาย... ผมจะกลับไปเร็ว ๆ นี้  
ยังมีงานอยู่: ขม,ผมยังมีงานที่ต้องเคลียร์อีกเยอะเลยครับยาย... ขอโทษนะครับ  

Dialog: ยาย,ยายรอลูกเสมอนะ บ้านเรายังอยู่ที่เดิม... เหมือนเดิมทุกอย่าง

# หน้าจอคอมค่อย ๆ มืดลง ขมลุกขึ้นเก็บของ เสียงเพลงไทยดั้งเดิมชัดขึ้น  
Dialog: คำบรรยาย,*เสียงเพลงไทยแบบดั้งเดิมดังขึ้น*  
Dialog: คำบรรยาย,บางครั้ง... การเริ่มต้นใหม่ อาจต้องเริ่มจากการ “กลับบ้าน”

# จบฉาก / Fade out  
>>>>>>> 4ed65aa (Now when click choice emit button.text to Dialog_Scene)
