# Mainboard_Pib.txt — บทปิ๊บ มินิเกม Core Part Mainboard + CPU
# ฟอร์แมต  ชื่อตัวละคร,ข้อความ   (คอมมาเดียวเท่านั้นต่อบรรทัด)

# @INSPECT_FINS
ปิ๊บ,ดูครีบฮีตซิงก์สิ ฝุ่นอุดเต็มร่องเลย ลมผ่านไม่ได้ความร้อนก็ออกไม่ทัน

# @INSPECT_PASTE
ปิ๊บ,ขอบ CPU มีซิลิโคนแห้งแตกเป็นขุย อันนี้ไม่นำความร้อนแล้วนะ

# @INSPECT_STANDOFF
ปิ๊บ,ใต้เมนบอร์ดมีรอยขูดตรงที่แผ่นแตะเคส สงสัยว่า standoff จะหายไปตัวหนึ่ง

# @BRIEFING
ปิ๊บ,ความร้อนจาก CPU ไม่ได้ลอยหายไปเองนะขม มันต้องถูกพาออกไปทางฮีตซิงก์
ปิ๊บ,ผิวโลหะสองชิ้นที่ดูเรียบ ๆ จริง ๆ แล้วมีรูเล็ก ๆ เต็มไปหมด อากาศที่ค้างในรูนั่นแหละที่กันความร้อน
ปิ๊บ,ซิลิโคนมีไว้ไล่อากาศออก ไม่ได้มีไว้เป็นกาว ทาบาง ๆ ก็พอ
ปิ๊บ,ของเครื่องนี้แห้งกรอบหมดแล้ว เลยพาความร้อนไม่ไหว เครื่องถึงดับตอนเล่นเกม

# @SAFETY_MAT
ปิ๊บ,วางเมนบอร์ดบนแผ่นรองกันไฟฟ้าสถิตนะ อย่าวางบนโต๊ะเปล่าหรือบนกล่องโฟม

# @REMOVE_COOLER
ปิ๊บ,ปลดคานล็อกทีละนิดแบบไขว้กันนะ อย่าปลดตัวเดียวจนสุด แผ่นจะงอ
ปิ๊บ,ก่อนยกให้หมุนซ้ายขวาเบา ๆ ก่อน ซิลิโคนเก่ามันดูดติดกันอยู่ ถ้าดึงตรง ๆ CPU จะหลุดติดขึ้นมาทั้งตัว

# @CLEAN_IPA
ปิ๊บ,ใช่ ไอโซโพรพิลแอลกอฮอล์ละลายซิลิโคนได้ดีและระเหยเร็วจนไม่ทิ้งความชื้น

# @CLEAN_TISSUE
ปิ๊บ,ใช้ได้อยู่ แต่กระดาษทิชชูทิ้งขุยไว้บนผิว เดี๋ยวต้องเช็ดซ้ำอีกรอบนะ

# @CLEAN_WATER
ปิ๊บ,หยุดก่อน น้ำระเหยช้าและจะค้างอยู่ใต้ฮีตซิงก์ที่เรากำลังจะปิดทับ
ปิ๊บ,ความชื้นใต้แผ่นโลหะร้อน ๆ คือสูตรสำเร็จของสนิมเลยนะ

# @CLEAN_THINNER
ปิ๊บ,ทินเนอร์แรงเกินไป มันกัดพลาสติกรอบซ็อกเก็ตกับสีบนแผ่นวงจรด้วย

# @CLEAN_SANDPAPER
ปิ๊บ,ไม่ได้เด็ดขาด ผิวฮีตซิงก์ที่ดูเรียบนั่นเขาเจียรมาอย่างดี ขูดทีเดียวคือพังถาวร

# @SEAT_CPU
ปิ๊บ,มองมุมซ้ายล่างของ CPU สิ มีสามเหลี่ยมเล็ก ๆ อยู่ ตรงซ็อกเก็ตก็มีเหมือนกัน
ปิ๊บ,หันให้สามเหลี่ยมตรงกัน แล้วปล่อยลงเฉย ๆ CPU ที่ดีจะลงล็อกเอง
